HG00438,0030204;0030205,,0010101;023,0010201;0010201,,,0020108;0020106,,,,0010102;0010102,,0150204;0150204,0020105;0020105,01001;01002,0030202;0030212,
HG00673,0030205;0030204,,0010113;0010103,0060201;0050101,0010103,,0020106;0020108,0020103,,,0040101,0020111,0070104,00801;093,00902;01001,0030202;0030202,0130101
HG00735,0030212,0010107,0010101,0110101;0080204,,,0020109,,0010102,,010;0060101,,0050101;0040102,0010302;00302,0090106;0040202,0030207;0030101,
HG00741,0020114,,0020101;0010110,0080204;032,,,0030102;0020108,0020103,,,0060101,,0040101,00501,01302;0010101,0060103;007?;009?,
HG01071,0030204;0030212,,0010110;0010113,0010304;0080204,,,0020108;0020109,,,,0010106;0060101,,0200103;0040101,00903;00501,00602;0020602,0030202;0030207,
HG01106,0030205;0030208,,0010108;0010106,0010201;0010202,,,0020106;008,,,,0010102;0010101,,0150204;0150201,0020105;0020104,00802;0020604,0030202;0030210,
HG01175,0030225,0030101,0010113,0010305;0050101,0050101,,0020109,0020104,0010101,0020103,0030104,,0080101,00901;0070102,0020702;0070103,0030202;0090102,0130101
HG01258,0020102,0030106,0020102,0050101;0050101,0010101;0010103,,0030102,0020103;0020103,0010108,,,0020111;0020104,,0070102;018,00602;01403,0150101;0090101,0130101;0130101
HG01358,0030204,0010103,0010101,0010201,,038,0020108,0020103,0010102,,0010102,0020111,0150204,0070102;0020105,02801;0090101,0079991;0030202,
HG01361,0030204,0030106,0010110,0050101;0080101,0010103,,0020108,0020103,0010108,,0030101,0020104,0010109,018;0010101,01403;04801,0090101;0030206,0130101
HG01891,0040102;0030204,0010107,0010109,017;0010306,,00603,010;0020109,,0010111,,0010108;0010102,0070101,0310101;0150202,0010302;0010302,0040202;01101,0030402;0030202,
HG01928,0030205;0030205,,0010113;0010113,0010201;0010201,,,0020106;0020106,,,,0010102;0010102,,0150218;0250103,0020105;071,00902;00902,0030212;0030212,
HG01952,0030205;0040101,0010103,009,0010201;0080204,,0020109,0020106;0010201,,011,0010301,0010102;0060101,,0290101;0040101,0020106;00501,01002;0030101,0030202;0030101,
HG01978,0030205;0030205,,0010113;0010113,0010201;0010201,,,0020106;0020106,,,,0010102;0010102,,0290101;0150204,0020106;0020105,00902;00802,0030212;0030202,
HG02148,0030205;0030205,,0010108;0010108,0010201;0110101,,,0020106;0020106,,,,0010102;010,,0150204;0050103,0020105;01001,00802;00902,0030202;0030212,
HG02257,007;0040101,00102;00602,,0080204;0110101,,0020107;0020107,0010203;0010201,,0010102,0010302;0010301,0060101;010,,0040102;0050103,00302;01001,0140205;01406,0090102;0030203,
HG02572,0020102;0010103,,013;006,022;0080101,,,0030102;007,,,,0010108;0030101,,0310101;0010107,0010302;0010102,00205;005,0150101;0109991,
HG02622,0030225;00303,,0010103;00501,0010306;0050101;0110101,,,0020109;013,,,,0010102;010,,0150212;0050103,0010302;086,0020202;02702,0030202;0090102;0100102,0130101
HG02630,00303;00303,,00501;00501,01201;0050101;0050101,0010103,,006;006,0020103,,,0010106;0010106,0020111,03501,105;0070102,035;02703,0030216;0030216;0119991,0130127;0130127
HG02717,00303;0030204,,00501;0010109,0050101;0110101;0010302,,,013;0020109,,,,010;0010106,,0050103;0150102,086;040,02702;01102,0090102;0100102;0030202,0130101
HG02886,0020105;00601,,013;00501,022;0050101,0010103,,0030102;010,0020103,,,0010108,0020111,0310101,0010302;00601,00205;035,0150101;0030209,0130101
HG03453,0040102;0030209,00602,011,0010304;0010305,,00601,010;0020109,,,,0010106;0010108,0070102,0150101;0310101,01301;0010302,01406;0090101,0030402;0030202,
HG03516,0040109;0030205,0010105,0010103,0010303;0080101,,0020107,0010201;0020109,,0010111,0010301,0010104;0030101,,0250103;0010103,0020102;0010102,0140203;005,0030101;0030202,
HG03540,0030204;00303,,0010101;006,0080103;0010307,,,0020109;007,,,,0010108,,05901;01701,01001,01502;005,017;0100102,
HG03579,0040101;00601,0010103,00501,0010307;01202,,017,0020105;010,,0010102,0010301,0010108;0030101,,01701;022,01001;0010102,032;0410103,0030101;0030209,
