ID,KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,KIR2DL5B,KIR2DP1,KIR2DS1,KIR2DS2,KIR2DS3,KIR2DS4,KIR2DS5,KIR3DL1,KIR3DL2,KIR3DL3,KIR3DP1,KIR3DS1
HG00438,0030204;0030201,,0010101;023,0010201;0010201,,,0020101;0020101,,,,0010101;0010102,,0150201;0150204,0020105;0020105,01001;01002,0030202;0030212,
HG00621,0030205;0030201,,0010101;0010101,0010201;0010201,,,0020101;0020109,,,,0010107;0010107,,0150203;0150203,0020105;0020105,01002;01502,0030202;0030202,
HG00673,0030201;0030201,,0010101;0010101,0060201;00504,0010103,,0020101;0020101,0020103,,,0040101,0020111,0070104,00801;093,00902;01001,0030202;0030202,0130101
HG00733,00303;0040101,0010101,006,0080101;0050107,,0020107,007;0010201,,0010124,0010301,0030101;0010101,,0010101;0020103,0010101;0020101,005;0140205,0100101;0030101,0130101
HG00735,0030212,0010101,0010101,0110101;0080204,,,00203,,0010101,,010;0060101,,0050101;0040101,0010302;00302,0090106;0040201,0030207;0030101,
HG00741,0020101,,0020101;0010101,0080204,,,0030102;0020101,00502,,,0060101,,0040101,00501,01302;0010101,0060103,
HG01071,0030204;0030212,,0010101;0010101,0010304;0080204,,,0020101;00203,,,,0010106;0060101,,0200103;0040101,00902;00501,00602;0020602,0030202;0030207,
HG01106,0030205;0030208,,0010101;0010101,0010201;0010202,,,0020101;008,,,,0010102;0010101,,0150204;0150201,0020105;0020104,00802;0020604,0030202;00303,
HG01109,00601;0030201,,00501;0010101,01201;0010301,,,006;0020101,,,,009;0010101,,022;0150101,0010301;01301,035;0090101,0030209;0100102,
HG01175,0030225,0030101,0010101,0010301;0050101,0050101,,0020101,0020104,0010101,0020101,0030101,,0080101,00901;0070102,0020701;0070103,0030201;0090102,0130101
HG01243,,0010101;0030101,,,,0080101;00601,,0020103;0020101,0010101;00102,,,0020101;009,,058;01901,0140201;050,,
HG01258,0020101,0030101,0020101,0050101;0050101,0010101;0010101,,0030101,0020101;0020103,0010108,,,0020111;0020101,,0070101;018,00602;01403,0150101;0090101,0130101;0130101
HG01358,0030201,0010101,0010101,0010201,,0080101,0020101,0020101,0010101,,0010102,0020101,0150201,0070101;0020105,02801;0090101,0030202,
HG01361,0030204,0030101,0010101,0050101;0080101,0010101,,0020101,0020103,0010108,,0030101,0020101,0010101,018;0010101,01403;04801,0090101;0030206,0130101
HG01891,0040101;0030201,0010101,0010101,00201;0010306,,00601,010;0020101,,0010101,,00104;0010101,003,0310101;0150201,0010301;0010301,0040201;01101,0030401;0030202,
HG01928,0030205;0030205,,0010101;0010101,0010201;0010201,,,0020101;0020101,,,,0010102;0010102,,0150204;0250101,0020105;071,00902;00902,0030212;0030212,
HG01952,0030205;0040101,0010101,009,0010201;0080201,,0020101,0020101;0010201,,002,0010301,0010102;0060101,,0290101;0040101,0020106;00501,01002;0030101,0030202;0030101,
HG01978,0030205;0030201,,0010101;0010101,0010201;0010201,,,0020101;0020101,,,,0010102;0010101,,0290101;0150201,0020106;0020105,00902;00802,0030212;0030202,
HG02055,00601;0030201,,00501;00501,022;0010301,,,006;006,,,,00104;0060101,,0310101;0150211,0010301;0010301,035;0410101,0030209;0030216,
HG02080,0030201;0030205,,0010101;0010101,0010201;0010201,,,0020101;0020101,,,,0010102;0010102,,0290101;0150203,0020105;0020105,01001;01002,0030201;0030202,
HG02145,0040101;0030201,,010;00102,0010304;0010301,,0020101,015;0020101,,,0010301,0010101;0010101,,0200102;030,00902;01301,04901;0090101,0030101;0100102,
HG02148,0030205;0030205,,00103;0010101,0010201;0110101,,,0020101;0020101,,,,0010102;010,,0150204;0050103,0020105;01001,00802;00902,0030202;0030212,
HG02257,007;0040101,00102;00602,,0080204;0110101,,0020107;0020101,0010203;0010201,,0010101,0010301;0010301,0060101;010,,0040101;0050103,00302;01001,0140201;01406,00902;0030401,
HG02572,0020101;0010101,,013;006,022;0080101,,,0020101;007,,,,00104;0030101,,0310101;0010107,0010301;0010101,00205;005,0030401;0100101,
HG02622,0030201;01202,,0010101;00501,0010306;0050101,,,0020101;013,,,,0010101;010,,0150212;0050101,0010301;086,00205;02702,0030202;0100101,0130101
HG02630,0030201;0030201,,00501;00501,01201;0050101,0010101,,006;006,0020103,,,00103,0020101,03501,105;0070101,035;02703,0030216;0030216,0130127
HG02717,01202;0030201,,00501;0010101,0050101;0010301,,,013;0020101,,,,010;0010101,,0050101;0150102,086;040,02702;01102,0100101;0030201,0130101
HG02723,0030201,0010101,,0080204;0010306,,,0020101,,0010101,,0060101;0010101,,0040102;0150202,0010101;0020102,0030101;01101,001;0280101,
HG02818,00601;0030201,,00501;0010101,0080101;0010301,,,006;0020101,,,,0030101;0010101,,0010101;0150101,0010101;01301,04901;0020202,0030209;0100101,
