ID,KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,KIR2DL5B,KIR2DP1,KIR2DS1,KIR2DS2,KIR2DS3,KIR2DS4,KIR2DS5,KIR3DL1,KIR3DL2,KIR3DL3,KIR3DP1,KIR3DS1
NT_113949.2,,0030101,,0050101,0010101,,,0020101,0010101,,,0020101,,00601,0030101,002,0130101
NT_187636.1,0040101,0010106,,0050101,0050101,0020107,0010202,0020104,0010105,0010301;0020103,,,,0070103,0030103,0030102,0130101
NT_187637.1,0030206,,0010104,0110101,,,0020102,,,,010,,0050101,0010302,0090101,0030204,
NT_187638.1,,0010103,,0060201,,,,,0010102,,0040101,,0070101,00801,0140201,001,
NT_187639.1,0030201,,0010110,0010201,,,0020108,,,,0010102,,0290102,0020106,04801,0030206,
NT_187640.1,007,0010107,,0060201,,0020107,0010203,,0010112,0010302,0040102,,0070102,00801,0030104,0030101,
NT_187641.1,0030207,,0010103,0050101,0050103,,0020104,0020105,,0020101,,,,0070102,01001,0030202,0130102
NT_187642.1,,0030105,,0010201,,,,,0010107,,0010101,,0290101,0020103,0040201,007,
NT_187643.1,0030208,,0010106,0010202,,,008,,,,0010101,,0150201,0020104,0020604,0030202,
NT_187644.1,,0030106,,0050101,0010102,,,0020101,0010108,,,0020104,,018,0140202,0090101,0130101
NT_187645.1,0030209,,0010107,0010307,,,0020109,,,,0010108,,01701,023,0090101,008,
NT_187668.1,01201,0010104,,0110101,,004,009,,0010109,,010,0060101,0050102,0010302,0040202,0030401,
NT_187669.1,0030201,,0010108,0010201,,,0020106,,,,0010107,,0150203,0020105,00802,0030202,
NT_187670.1,,0030107,,0050101,0050104,,,0020106,0010110,0020102,,,,0070102,00801,0090103,0130103
NT_187671.1,0030203,,0010102,0010303,,,0020102,,,,0010104,,0250101,0010302,0090102,0030202,
NT_187672.1,025,,0010102,0010308,,,0020107,,,,,,016?,,0090102,0030205,014
NT_187673.1,0030218,,0010110,0080101,,,0020108,0020101,,,0030103,,0010102,056,01302,0030202,
NT_187674.1,0020102,,0020102,0010304,,,004,,,,0010106,,062,00903,0010101,0060101,
NT_187675.1,0040101,0010102,,0050101,0050101,0020101,0010201,0020104,0010105,0010301;0020101,,,,0070103,0030103,0030102,0130101
NT_187676.1,0030201,,0010103,0010305,,,0020110,,,,0030104,,0080101,00901,0090103,0030202,
NT_187677.1,,0030104,,0080105,,,,,0010106,,0030103,,0010102,0010102,036,0090102,
NT_187683.1,00303,,006,0010306,,,007,,,,0010105,,0150202,0020102,005,0030203,
NT_187684.1,010,,010,0080203,,00601,006,,,,0060101,010,063,00202,0410103?,0090102,
NT_187685.1,0030210,,0010109,0010302,,,0020109,,,,0010106,,0150101,01301,012,0100101,
NT_187686.1,0040102,0010105,,0110101,,0080101,010,,0010111,,010,0070101,0050102,01001,0140203,0030402,
NT_187687.1,0020103,,0020103,0080204,,,0030102,,,,0060102,,0040101,00501,019,0060101,
NT_187693.1,0030201,,0010111,0080101,,,0020101,,,,0030101,,0010101,0010101,0020101,0030206;035,
NW_003571054.1,0020101,,0020101,,,,0030101,,,,,,,,0010201,005;035,
NW_003571055.2,,0010103?,,0050101,0010101,,,0020101,,,,0020103,,0070102,,0060101,055
NW_003571056.2,,,,,,,,,,,0030102,,02702?,0010102,,,
NW_003571057.2,,,,,,,006?,0020101?,,,,,,00601,00602,,
NW_003571058.2,,,,,,,,,,,010?0030101,,,0010301,,,
NW_003571059.2,010?,,0010110,,,,0020108,,,,,,,034,00602,,
NW_003571060.1,0030202,,0010101,0010201,,,0020102,,,,0010101,,0020101,0020101,0090101,0030201;035,
NW_003571061.2,,0030102,,,,,,,0010103,,,,,,0030101,0090102,
NW_016107300.1,0030224,,0010107,0080204,,,0020109,,,,0060102,,0040101,00301?,0020202?,0030202,
NW_016107301.1,0020118,,0020101,0080101,,,0030101,,,,0030101,,0010106,00301?01101,01308,0060101,
NW_016107302.1,0020105,,0020101,0110101,,,0030101,,,,010,,0050101,0010302,01701,0150101,
NW_016107303.1,0040115;0320103N,,0010101,0050101;0050101,0010102;0050104,0020110,0020109;0010201?,0020103,,0010301,,0020122,,00601,01501,0030101;0150103,0130101;0130101
NW_016107304.1,0030219,,0010103,0050101,0010103,,0020106,006,,,,0020126,,0070102,00209,0030211,0130101
NW_016107305.1,0020108,,0020103,0010201,,,0030102,,,,0010101,,0020101,0020105,0010104,0150101,
NW_016107306.1,0040105,,,0010304,,,0010201,,00602?005,,0010106,,0200103,00902,020,0030101,
NW_016107307.1,0030212,,0010112,0110101,,,0010203,,,,010,,0050101,0010302,0090106,0030207,
NW_016107308.1,,,0010110,,,,0020108,0020101?00502,,,,,,00601,0010101,,
NW_016107309.1,0030229,,0010102,0110101,,,0020109,,,,010,,073,0010302,01501,0030202,
NW_016107310.1,0040101,0010102,,0050101,0050104,0020107,0010201,0020104,0010105,0010301;0020103,,,,00601,,0030102,0130101
NW_016107311.1,0010104?,,00501,,,,006?,,,,,,,,02703,,
NW_016107312.1,,0010102,,,,0080101,,0020103,0010102,,,0020116,,00601,0030101,,
NW_016107313.1,0020102?NEW,,0020103,0010201,,,0030102,,,,0010101,,0020101,0020101,0010101?,0150101,
NW_016107314.1,,0030103,,0080101,,,,,0010104,,0030103,,0010102,0010102,0030101,001,
